id,full_name,owner,repo_name,html_url,created_at,updated_at,pushed_at,size,language,forks_count,stargazers_count,watchers_count,has_issues,archived,disabled,fork,num_contributors,sbom_flag,exclusion_reason,num_commits,num_buggy_commits,lifetime_days,num_languages,num_stars,main_language,num_files,num_methods,num_buggy_files,num_buggy_methods,num_bugs
246,apache#iotdb,apache,iotdb,https://github.com/apache/iotdb,2018-11-24T21:29:17Z,2025-06-01T01:00:25Z,2025-06-02T09:14:33Z,1081109,Java,1055,5799,5799,True,False,False,False,281,True,,12550,8867,2952,6,5799,Java,6928,113662,22755,102903,6337
247,apache#datafusion-comet,apache,datafusion-comet,https://github.com/apache/datafusion-comet,2024-01-15T17:33:42Z,2025-06-02T14:12:15Z,2025-06-02T14:12:11Z,79199,Rust,205,959,959,True,False,False,False,65,True,,867,865,507,5,959,Rust,417,2292,3247,2292,0
248,apache#camel-karavan,apache,camel-karavan,https://github.com/apache/camel-karavan,2021-10-04T05:33:11Z,2025-05-30T14:19:50Z,2025-05-30T14:09:05Z,86147,TypeScript,186,512,512,True,False,False,False,35,True,,2060,1208,1333,3,512,TypeScript,555,3822,4368,3327,0
249,apache#maven-release,apache,maven-release,https://github.com/apache/maven-release,2009-05-21T00:59:16Z,2025-05-21T01:43:46Z,2025-05-26T04:58:50Z,24043,Java,136,116,116,True,False,False,False,52,True,,1195,505,6735,2,116,Java,288,2196,1188,2138,0
250,apache#kvrocks-controller,apache,kvrocks-controller,https://github.com/apache/kvrocks-controller,2021-07-31T07:59:56Z,2025-06-01T09:11:43Z,2025-06-01T09:11:39Z,12669,Go,55,100,100,True,False,False,False,30,True,,189,134,1403,5,100,Go,107,583,249,574,0
251,apache#arrow-rs-object-store,apache,arrow-rs-object-store,https://github.com/apache/arrow-rs-object-store,2025-03-20T18:17:12Z,2025-06-01T15:06:54Z,2025-05-29T08:27:49Z,21381,Rust,42,61,61,True,False,False,False,112,True,,441,436,1049,3,61,Rust,62,683,106,683,0
252,apache#pulsar,apache,pulsar,https://github.com/apache/pulsar,2016-06-28T07:00:03Z,2025-06-02T14:13:11Z,2025-06-02T09:26:41Z,642101,Java,3633,14632,14632,True,False,False,False,361,True,,13481,13397,3194,7,14632,Java,4395,53491,21934,53383,24
253,apache#commons-jexl,apache,commons-jexl,https://github.com/apache/commons-jexl,2013-07-10T07:00:14Z,2025-05-31T12:51:55Z,2025-05-31T12:51:51Z,40017,Java,87,212,212,False,False,False,False,27,True,,3597,1044,8442,1,212,Java,217,6019,664,5284,438
254,apache#mynewt-core,apache,mynewt-core,https://github.com/apache/mynewt-core,2015-10-29T07:00:07Z,2025-05-26T10:00:44Z,2025-05-26T10:00:39Z,384518,C,371,866,866,True,False,False,False,122,True,,11205,2190,3633,4,866,C,1654,37219,1990,7849,1
255,apache#maven-pmd-plugin,apache,maven-pmd-plugin,https://github.com/apache/maven-pmd-plugin,2017-12-09T15:13:30Z,2025-05-31T07:22:09Z,2025-06-02T07:19:24Z,5509,Java,47,54,54,True,False,False,False,40,True,,925,477,7260,4,54,Java,195,597,512,593,0
256,apache#avro,apache,avro,https://github.com/apache/avro,2009-05-21T02:48:37Z,2025-05-30T15:48:15Z,2025-06-01T17:59:27Z,192385,Java,1673,3078,3078,False,False,False,False,362,True,,4709,3978,5899,10,3078,Java,1276,17192,4577,17034,4133
257,apache#druid,apache,druid,https://github.com/apache/druid,2012-10-23T19:08:07Z,2025-06-02T08:46:08Z,2025-06-02T08:46:03Z,1351095,Java,3739,13724,13724,True,False,False,False,357,True,,15035,9667,4608,7,13724,Java,9563,100434,25465,94488,0
258,apache#directory-server,apache,directory-server,https://github.com/apache/directory-server,2009-05-21T02:25:07Z,2025-05-23T16:01:40Z,2025-05-23T16:01:37Z,181305,Java,95,160,160,False,False,False,False,25,True,,1800,473,4468,1,160,Java,1271,31169,681,4924,0
259,apache#rocketmq-client-cpp,apache,rocketmq-client-cpp,https://github.com/apache/rocketmq-client-cpp,2018-10-11T02:36:54Z,2025-05-20T02:29:14Z,2025-03-04T07:00:26Z,21901,C++,165,379,379,True,False,False,False,37,True,,362,173,2329,3,379,C++,155,2095,331,1907,0
260,apache#shenyu-dashboard,apache,shenyu-dashboard,https://github.com/apache/shenyu-dashboard,2018-07-22T14:40:54Z,2025-05-10T08:09:24Z,2025-05-10T08:11:25Z,30375,JavaScript,230,190,190,True,False,False,False,59,True,,451,347,2483,2,190,JavaScript,158,1727,257,655,0
261,apache#empire-db,apache,empire-db,https://github.com/apache/empire-db,2011-07-14T07:03:04Z,2025-05-26T22:31:29Z,2025-05-26T22:31:26Z,64618,Java,23,84,84,False,False,False,False,9,True,,1777,1220,6150,2,84,Java,479,8089,1255,7821,465
262,apache#maven,apache,maven,https://github.com/apache/maven,2009-05-21T03:22:03Z,2025-06-02T12:00:42Z,2025-06-02T07:20:55Z,191130,Java,2742,4622,4622,False,False,False,False,202,True,,15608,5464,7948,2,4622,Java,2933,27082,16533,22995,288
